ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005496	steroid binding	16/1264	102/22744	0.000155193007496257	0.00454909503223403	0.00329274637615413	11749/22337/170459/226144/20652/19885/20280/19126/110784/15484/11928/71904/228983/12309/76854/75552	16
GO:0003950	NAD+ ADP-ribosyltransferase activity	7/1264	23/22744	0.000179624934605011	0.00510570268665152	0.00369563262584472	80285/235587/74493/11545/99929/243771/671535	7
GO:0038024	cargo receptor activity	14/1264	84/22744	0.000205092370583959	0.00565813657669863	0.00409549780268277	96875/109689/18606/70417/94242/50765/16835/19039/269855/27403/16971/171504/12778/12945	14
GO:0043236	laminin binding	8/1264	31/22744	0.000222668672862607	0.00596752043271788	0.00431943741342501	13601/94242/11502/83436/269855/13138/21825/16852	8
GO:0016769	transferase activity, transferring nitrogenous groups	7/1264	24/22744	0.000241482834346901	0.00629196940603871	0.00455428152496349	76282/107272/14718/67092/12035/108682/21817	7
GO:0019902	phosphatase binding	25/1264	209/22744	0.000257128376339252	0.00651855181097887	0.00471828741788955	17295/26941/14083/18005/22352/69601/114715/19246/19891/19303/16438/83671/78388/72590/17127/384783/17967/18708/226517/232341/72281/14600/269016/13866/53412	25
GO:0048407	platelet-derived growth factor binding	5/1264	12/22744	0.000299829533311041	0.00740105532225676	0.00535706506885379	12833/12842/12824/12825/12826	5
GO:0004812	aminoacyl-tRNA ligase activity	9/1264	41/22744	0.000342393997074054	0.00802913923138656	0.00581168758191486	22321/27267/110960/70223/107508/353172/234734/105148/216443	9
GO:0016875	ligase activity, forming carbon-oxygen bonds	9/1264	41/22744	0.000342393997074054	0.00802913923138656	0.00581168758191486	22321/27267/110960/70223/107508/353172/234734/105148/216443	9
GO:0008200	ion channel inhibitor activity	8/1264	33/22744	0.00035493130326797	0.00812013566988673	0.00587755303229373	12389/23936/83814/16438/69847/100102/232341/22320	8
GO:0005518	collagen binding	12/1264	69/22744	0.000382488514901521	0.00854224349946731	0.00618308501532534	12305/56745/20692/11568/13030/18542/18479/11502/14766/17127/21825/17386	12
GO:0004177	aminopeptidase activity	9/1264	42/22744	0.000414511873882631	0.00860567120297082	0.00622899554024933	11421/72061/13437/83768/13809/56307/22019/72461/18624	9
GO:0030674	protein binding, bridging	17/1264	122/22744	0.00041979439424985	0.00860567120297082	0.00622899554024933	12390/12121/12389/12419/109689/216233/209630/50915/97112/50754/194231/15161/228545/230126/24055/16367/12593	17
GO:0016887	ATPase activity	41/1264	424/22744	0.000420099360976191	0.00860567120297082	0.00622899554024933	11972/11974/17912/11973/214901/11975/56200/76408/16553/73296/70472/17250/74355/15526/11982/11931/73804/18669/72151/11938/58186/110033/17921/11666/50770/93762/16582/71819/239273/11928/114143/338367/27403/76295/81000/208084/229841/236930/320817/15925/24015	41
GO:0031434	mitogen-activated protein kinase kinase binding	6/1264	19/22744	0.000422026519548676	0.00860567120297082	0.00622899554024933	110157/109880/109689/11421/69601/228775	6
GO:0072349	modified amino acid transmembrane transporter activity	5/1264	13/22744	0.000464960798912627	0.00927943041234137	0.00671667895405699	83429/102857/55963/30805/17250	5
GO:0008536	Ran GTPase binding	8/1264	35/22744	0.000544996744252078	0.010224138922169	0.0074004821061598	18141/11799/218210/100088/70572/212999/73192/233726	8
GO:0016248	channel inhibitor activity	8/1264	35/22744	0.000544996744252078	0.010224138922169	0.0074004821061598	12389/23936/83814/16438/69847/100102/232341/22320	8
GO:0017147	Wnt-protein binding	8/1264	35/22744	0.000544996744252078	0.010224138922169	0.0074004821061598	26362/17295/14368/68151/14369/14366/666048/494504	8
GO:0045309	protein phosphorylated amino acid binding	10/1264	53/22744	0.000592558726574228	0.0107573532577864	0.00778643569888026	15170/109689/50754/18710/234779/18708/230126/12702/24055/16367	10
GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	9/1264	44/22744	0.000596356470580907	0.0107573532577864	0.00778643569888026	12444/12447/12575/12428/12442/268697/192231/12443/12449	9
GO:0005520	insulin-like growth factor binding	7/1264	28/22744	0.000679631543377256	0.0117934507862365	0.00853638846046746	22402/56213/14219/16416/50766/16410/29817	7
GO:0005159	insulin-like growth factor receptor binding	5/1264	14/22744	0.000690272687987089	0.0117934507862365	0.00853638846046746	109689/216233/18708/22628/16367	5
GO:0001540	amyloid-beta binding	10/1264	54/22744	0.000691513638851821	0.0117934507862365	0.00853638846046746	12759/16432/64294/56177/13010/11787/16835/230904/14366/15925	10
GO:0046332	SMAD binding	13/1264	84/22744	0.00071352154726751	0.0119514859167308	0.0086507781576606	11479/66313/52662/107765/12825/11545/24136/192176/17127/21813/230597/17684/233726	13
GO:0048156	tau protein binding	6/1264	21/22744	0.000766990778690614	0.012541574801255	0.00907789894154355	14360/20393/12759/15516/15185/213539	6
GO:0022804	active transmembrane transporter activity	34/1264	342/22744	0.000775491832060542	0.012541574801255	0.00907789894154355	20514/11972/11974/11740/20499/11973/11975/102857/55963/30805/76408/218756/67554/11732/17250/105727/27376/11931/14664/18669/11938/11666/170756/239273/20501/11928/114143/27403/234076/104681/20541/54403/269356/53881	34
GO:0030291	protein serine/threonine kinase inhibitor activity	7/1264	29/22744	0.000853308733086634	0.0135661625700892	0.00981952065728598	19084/12575/114715/18767/114716/232341/192231	7
GO:0043492	ATPase activity, coupled to movement of substances	17/1264	130/22744	0.000878422038464448	0.0137326645346609	0.00994003885630823	11972/11974/11973/11975/76408/17250/11982/11931/18669/11938/11666/50770/239273/11928/114143/27403/76295	17
GO:0060589	nucleoside-triphosphatase regulator activity	30/1264	292/22744	0.000911217579195075	0.0139817111093938	0.0101203048654012	54153/18141/109689/117600/217325/218581/13196/24001/18186/19735/11931/66691/69601/76123/67035/230784/213649/57915/19414/114713/71709/215387/71435/230837/214137/75415/213539/104252/58996/329679	30
GO:0099106	ion channel regulator activity	14/1264	97/22744	0.000924164273755238	0.0139817111093938	0.0101203048654012	12389/27219/20393/66109/23936/83814/229615/16438/192176/69847/100102/232341/22320/100043272	14
GO:0004879	nuclear receptor activity	9/1264	47/22744	0.000986938177330276	0.0140468896812973	0.0101674827117459	56700/22259/20181/11622/22337/15370/19885/110784/76854	9
GO:0016879	ligase activity, forming carbon-nitrogen bonds	9/1264	47/22744	0.000986938177330276	0.0140468896812973	0.0101674827117459	11565/107476/237823/14450/229363/14630/27053/67534/270685	9
GO:0098531	transcription factor activity, direct ligand regulated sequence-specific DNA binding	9/1264	47/22744	0.000986938177330276	0.0140468896812973	0.0101674827117459	56700/22259/20181/11622/22337/15370/19885/110784/76854	9
GO:0008483	transaminase activity	6/1264	22/22744	0.00100540245518991	0.0140468896812973	0.0101674827117459	76282/107272/14718/12035/108682/21817	6
GO:0090079	translation regulator activity, nucleic acid binding	6/1264	22/22744	0.00100540245518991	0.0140468896812973	0.0101674827117459	69674/13361/22171/73158/231207/232164	6
GO:0061134	peptidase regulator activity	26/1264	242/22744	0.00101832462508339	0.0140468896812973	0.0101674827117459	20111/13014/14114/12389/21858/11799/109689/21859/20706/50766/12266/12836/14268/13010/18542/18550/331535/16425/18787/66222/20723/235505/69550/71907/20719/20733	26
GO:0015238	drug transmembrane transporter activity	14/1264	99/22744	0.00113299909506097	0.0154022195821331	0.0111485036813779	20514/11740/102857/55963/67554/17250/105727/27376/14664/18669/239273/11987/66972/269356	14
GO:0030246	carbohydrate binding	28/1264	270/22744	0.00115155313788843	0.015430812047705	0.0111691996080908	16859/214895/26433/96875/330814/18452/18451/66890/18606/71665/94242/100198/17160/93694/11674/140792/14751/15275/319387/210530/70967/216440/230904/216551/50762/16852/74253/12268	28
GO:0016853	isomerase activity	18/1264	146/22744	0.00125815697255172	0.0165953352231253	0.0120121099976611	74467/16416/30795/23986/21991/14229/18453/245474/16987/104009/14751/12183/105245/51798/78697/11364/56351/208715	18
GO:0042578	phosphoric ester hydrolase activity	34/1264	352/22744	0.00127384236254267	0.0165953352231253	0.0120121099976611	15170/15368/19062/12799/19272/19084/24000/19270/18606/19275/18640/13537/19246/16330/100678/18576/12530/11928/56209/234779/19249/245857/209039/218977/18218/320717/224860/18798/235534/98432/229791/53412/52468/433022	34
GO:0042826	histone deacetylase binding	16/1264	123/22744	0.00130072850251006	0.016713470347321	0.0120976190932803	16600/107995/57441/15184/12419/22433/14634/71175/15516/107765/70998/11545/15185/12606/12393/12443	16
GO:0016646	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor	5/1264	16/22744	0.00137204660349668	0.0172594639528634	0.0124928226344932	17768/13361/209027/107747/270685	5
GO:0008238	exopeptidase activity	14/1264	101/22744	0.00138002110497309	0.0172594639528634	0.0124928226344932	19025/19072/11568/11421/72061/13437/83768/13809/12751/56307/22019/235461/72461/18624	14
GO:0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	4/1264	10/22744	0.00152134415377224	0.0185327378732255	0.0134144494761872	50493/13382/18230/18655	4
GO:0019870	potassium channel inhibitor activity	4/1264	10/22744	0.00152134415377224	0.0185327378732255	0.0134144494761872	12389/83814/69847/232341	4
GO:0042974	retinoic acid receptor binding	7/1264	32/22744	0.0015905824029255	0.0191277729992835	0.013845150470809	22259/20181/22337/233908/13017/214855/15361	7
GO:0004866	endopeptidase inhibitor activity	22/1264	199/22744	0.00166481078713998	0.0195199064792163	0.0141289862855959	20111/13014/21858/11799/109689/21859/20706/50766/12266/12836/13010/18550/331535/16425/18787/66222/20723/235505/69550/71907/20719/20733	22
GO:0008514	organic anion transmembrane transporter activity	22/1264	199/22744	0.00166481078713998	0.0195199064792163	0.0141289862855959	20514/83429/11740/102857/55963/218756/67554/17250/105727/27376/26570/14664/20525/11666/26457/239273/20501/11987/104681/66972/54403/269356	22
GO:0048306	calcium-dependent protein binding	11/1264	71/22744	0.00177443366850051	0.0205483800130059	0.0148734206131622	20198/12313/11749/11744/17174/11746/55925/338367/74648/107305/17386	11
GO:0008237	metallopeptidase activity	20/1264	176/22744	0.00190707945433421	0.0218151283922621	0.0157903241084155	240913/11568/11421/69617/72061/12153/224697/58223/13437/13809/11490/11502/108153/56307/17384/17386/15925/230857/18624/666048	20
GO:0019955	cytokine binding	16/1264	128/22744	0.00198047818908171	0.0222224044373253	0.0160851204826336	268977/12505/12931/16416/18414/15976/16177/16410/21937/21813/21825/12778/22695/235505/14366/14600	16
GO:0042277	peptide binding	30/1264	307/22744	0.00199581556795175	0.0222224044373253	0.0160851204826336	105785/20181/16803/19072/218210/13030/12759/16432/15516/15510/53945/64294/56177/13010/13809/11787/72399/18550/70572/12751/212999/16835/214897/18708/230904/22019/14366/14600/15925/76890	30
GO:0005539	glycosaminoglycan binding	22/1264	202/22744	0.00201375733174056	0.0222224044373253	0.0160851204826336	53867/12505/22402/227290/72043/11749/14219/18186/14268/50706/12814/18542/11746/14183/14766/21813/75612/15275/17967/70967/21825/237847	22
GO:0030374	nuclear receptor transcription coactivator activity	10/1264	62/22744	0.00207891136879225	0.0226746379526411	0.0164124581746757	56700/22259/109711/67500/217166/22337/67488/59035/15361/226169	10
GO:0001784	phosphotyrosine residue binding	8/1264	43/22744	0.00226419450498782	0.0238246581967142	0.0172448709874096	15170/18710/234779/18708/230126/12702/24055/16367	8
GO:0002162	dystroglycan binding	4/1264	11/22744	0.00228594801461011	0.0238246581967142	0.0172448709874096	22330/76499/13138/76707	4
GO:0008525	phosphatidylcholine transporter activity	4/1264	11/22744	0.00228594801461011	0.0238246581967142	0.0172448709874096	20280/19679/27403/56305	4
GO:0030955	potassium ion binding	4/1264	11/22744	0.00228594801461011	0.0238246581967142	0.0172448709874096	11931/18746/216134/11928	4
GO:1901681	sulfur compound binding	25/1264	244/22744	0.00242188055065099	0.0249639995220948	0.0180695541373035	53867/22402/227290/11749/14219/107476/13382/23986/18186/14268/20652/50706/12814/20280/100088/18542/11746/14183/14766/75612/17967/70967/21825/237847/11364	25
GO:0016645	oxidoreductase activity, acting on the CH-NH group of donors	6/1264	26/22744	0.00256405428339508	0.0258611066432751	0.0187189022387077	17768/192166/13361/209027/107747/270685	6
GO:0016866	intramolecular transferase activity	6/1264	26/22744	0.00256405428339508	0.0258611066432751	0.0187189022387077	74467/245474/16987/14751/12183/78697	6
GO:0005044	scavenger receptor activity	8/1264	44/22744	0.00263482517930046	0.0261596100365769	0.0189349663041096	96875/18606/70417/94242/19039/269855/12778/12945	8
GO:0005548	phospholipid transporter activity	10/1264	64/22744	0.00264972451420661	0.0261596100365769	0.0189349663041096	17250/11982/20280/19679/56018/50770/27403/76295/56305/77619	10
GO:0004175	endopeptidase activity	39/1264	439/22744	0.00271931910040455	0.0261596100365769	0.0189349663041096	12336/59287/56213/240913/19072/11421/69617/13030/12153/17174/224697/12333/58223/76867/66552/12368/11490/14066/54426/18550/12751/18791/11502/108153/72344/73218/12337/50908/232371/22019/100102/17384/17386/76800/50909/15925/230857/666048/56464	39
GO:0004860	protein kinase inhibitor activity	9/1264	54/22744	0.00271975029183909	0.0261596100365769	0.0189349663041096	19084/100037258/12575/114715/18767/228775/114716/232341/192231	9
GO:0061135	endopeptidase regulator activity	22/1264	207/22744	0.00273309358591102	0.0261596100365769	0.0189349663041096	20111/13014/21858/11799/109689/21859/20706/50766/12266/12836/13010/18550/331535/16425/18787/66222/20723/235505/69550/71907/20719/20733	22
GO:0005319	lipid transporter activity	17/1264	145/22744	0.00290396401552797	0.0275143257228812	0.0199155426902237	17250/170459/19662/11982/20280/19679/56018/11666/50770/26457/239273/27403/76295/228983/216892/56305/77619	17
GO:0016247	channel regulator activity	16/1264	133/22744	0.00293440729323971	0.0275247404105885	0.0199230810962064	12389/18301/27219/20393/66109/26941/23936/83814/229615/16438/192176/69847/100102/232341/22320/100043272	16
GO:0008022	protein C-terminus binding	24/1264	235/22744	0.00304748138459565	0.0281821673218959	0.0203989427927537	26558/14114/107995/14219/20969/69674/71175/67488/14268/11931/22352/13429/76123/229615/13601/11938/16438/65106/239528/18708/11911/15901/225523/13866	24
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	9/1264	55/22744	0.00309463031359838	0.0281821673218959	0.0203989427927537	59010/50493/13382/18230/14873/18453/73723/104009/18655	9
GO:0045182	translation regulator activity	9/1264	55/22744	0.00309463031359838	0.0281821673218959	0.0203989427927537	140486/69674/13361/74480/22171/234734/73158/231207/232164	9
GO:0035014	phosphatidylinositol 3-kinase regulator activity	5/1264	19/22744	0.00317775272421145	0.028437640045168	0.0205838602055138	16600/216233/18710/18708/12702	5
GO:0030414	peptidase inhibitor activity	22/1264	210/22744	0.00326066808158175	0.028437640045168	0.0205838602055138	20111/13014/21858/11799/109689/21859/20706/50766/12266/12836/13010/18550/331535/16425/18787/66222/20723/235505/69550/71907/20719/20733	22
GO:0000900	translation repressor activity, mRNA regulatory element binding	4/1264	12/22744	0.00327900725525965	0.028437640045168	0.0205838602055138	13361/22171/231207/232164	4
GO:0017166	vinculin binding	4/1264	12/22744	0.00327900725525965	0.028437640045168	0.0205838602055138	109711/20410/19303/13138	4
GO:0035256	G protein-coupled glutamate receptor binding	4/1264	12/22744	0.00327900725525965	0.028437640045168	0.0205838602055138	12313/26558/26556/14360	4
GO:0008047	enzyme activator activity	39/1264	444/22744	0.00330458716942784	0.028437640045168	0.0205838602055138	110157/16859/27214/54153/14114/12389/18141/21858/109689/117600/217325/218581/13196/12575/24001/18186/14268/19735/11931/66691/69601/67035/213649/57915/18542/19414/114713/71709/215387/71435/230837/214137/75415/268697/104252/232341/58996/70355/211323	39
GO:0032934	sterol binding	8/1264	46/22744	0.00351696739223237	0.0299901401264905	0.0217075977798074	11749/170459/226144/20652/19885/20280/19126/228983	8
GO:0004222	metalloendopeptidase activity	13/1264	100/22744	0.00357920045196278	0.0299976043354562	0.0217130005570298	240913/69617/12153/224697/58223/11490/11502/108153/17384/17386/15925/230857/666048	13
GO:0060090	molecular adaptor activity	19/1264	173/22744	0.00358180350274104	0.0299976043354562	0.0217130005570298	12390/12121/12389/12419/109689/216233/209630/69601/50915/97112/50754/194231/15161/59009/228545/230126/24055/16367/12593	19
GO:0042626	ATPase activity, coupled to transmembrane movement of substances	14/1264	112/22744	0.00367758736157741	0.0304634476342697	0.0220501893436247	11972/11974/11973/11975/76408/17250/11931/18669/11938/11666/239273/11928/114143/27403	14
GO:0005088	Ras guanyl-nucleotide exchange factor activity	15/1264	124/22744	0.0037023806293249	0.0304634476342697	0.0220501893436247	268739/110596/223864/24001/98845/100088/213649/76954/17207/20663/30938/226089/269608/228355/102442	15
GO:0019199	transmembrane receptor protein kinase activity	11/1264	78/22744	0.00378787434972794	0.0308866261327976	0.0223564963030574	11479/26362/12305/13845/17295/18186/13841/13846/14183/21813/13866	11
GO:0042169	SH2 domain binding	7/1264	37/22744	0.00381966805053787	0.0308866261327976	0.0223564963030574	15170/18099/20419/14083/13138/14600/16367	7
GO:0030695	GTPase regulator activity	25/1264	253/22744	0.00390801970162011	0.0313309613685441	0.0226781170269453	54153/18141/109689/117600/217325/218581/13196/24001/18186/19735/66691/69601/76123/230784/213649/57915/19414/114713/71709/71435/230837/214137/75415/104252/58996	25
GO:0019903	protein phosphatase binding	18/1264	162/22744	0.00398275190809898	0.0316595024559054	0.0229159231108282	17295/14083/18005/22352/69601/19246/19891/19303/16438/78388/72590/384783/18708/226517/14600/269016/13866/53412	18
GO:0016860	intramolecular oxidoreductase activity	8/1264	47/22744	0.00403594774400715	0.0318127645704093	0.0230268579821726	16416/23986/21991/18453/104009/14751/51798/56351	8
GO:0008201	heparin binding	17/1264	150/22744	0.00412706357093739	0.0322598802461606	0.0233504912566194	53867/22402/227290/11749/14219/18186/14268/50706/12814/18542/11746/14183/14766/17967/70967/21825/237847	17
GO:0036312	phosphatidylinositol 3-kinase regulatory subunit binding	4/1264	13/22744	0.00452969456919165	0.0348875833049706	0.0252524870740725	22433/69601/19249/18708	4
GO:0001221	transcription cofactor binding	8/1264	48/22744	0.0046120046160089	0.0348875833049706	0.0252524870740725	16600/15184/11622/72068/217166/19885/21677/20471	8
GO:0015459	potassium channel regulator activity	8/1264	48/22744	0.0046120046160089	0.0348875833049706	0.0252524870740725	12389/27219/20393/83814/229615/192176/69847/232341	8
GO:0016763	transferase activity, transferring pentosyl groups	8/1264	48/22744	0.0046120046160089	0.0348875833049706	0.0252524870740725	22247/80285/235587/74493/11545/99929/243771/671535	8
GO:0000287	magnesium ion binding	20/1264	191/22744	0.00490460554652731	0.036804160021141	0.0266397522316641	20111/65964/17768/18099/20112/11982/67071/15926/68943/100678/18817/50770/18746/214897/216134/328329/68837/208084/232341/13808	20
GO:0019210	kinase inhibitor activity	9/1264	59/22744	0.00501776296602334	0.0372095478019037	0.0269331818339444	19084/100037258/12575/114715/18767/228775/114716/232341/192231	9
GO:0046961	proton-transporting ATPase activity, rotational mechanism	5/1264	21/22744	0.00506995227598496	0.0372095478019037	0.0269331818339444	11972/11974/11973/11975/114143	5
